video_idx,frame_idx,area_ratio
7,1120,0.376436
7,1108,0.376492
6,1739,0.37666
7,1766,0.376736
6,1407,0.376792
7,1780,0.376792
3,634,0.377024
4,771,0.377032
6,1744,0.377088
7,1101,0.377168
4,847,0.377784
4,659,0.377812
7,1786,0.378652
7,1094,0.378964
5,918,0.37898
6,1749,0.379008
5,64,0.379224
2,1665,0.379288
4,306,0.379296
4,301,0.379884
7,1092,0.380312
7,1103,0.380364
7,1071,0.380388
7,1785,0.380504
7,1093,0.38072
5,1294,0.380784
7,1787,0.380824
4,672,0.380848
4,1106,0.38092
6,1751,0.381
4,305,0.381148
3,660,0.381544
7,1097,0.382252
7,1105,0.382448
6,400,0.3827
3,19,0.382704
6,238,0.382772
7,1069,0.382896
3,659,0.38294
2,1647,0.383004
5,73,0.38304
4,303,0.38312
7,1091,0.38444
3,20,0.384792
5,1327,0.384904
5,926,0.384956
6,1745,0.384972
4,297,0.384984
4,694,0.385228
3,368,0.385484
4,670,0.3855
4,545,0.385608
4,666,0.385712
7,1740,0.386648
5,1690,0.386808
6,243,0.386952
4,543,0.387016
7,1742,0.387148
4,789,0.3873
3,631,0.387332
4,537,0.387476
4,329,0.387508
3,636,0.387528
3,653,0.387528
3,657,0.387732
4,1599,0.388444
7,1100,0.388528
6,305,0.388592
3,661,0.388732
7,1749,0.388732
6,1753,0.388744
7,1753,0.388752
6,1741,0.388848
6,327,0.38888
7,1756,0.388888
5,915,0.388904
6,1253,0.389048
7,1778,0.389048
7,1744,0.38926
3,654,0.389368
6,1818,0.389392
3,629,0.389524
7,1102,0.390548
7,1098,0.390568
7,1104,0.390572
3,22,0.39074
7,1782,0.390752
7,1784,0.390756
7,1747,0.390836
6,221,0.390952
7,1122,0.390996
3,630,0.391464
3,64,0.391604
3,656,0.391672
5,68,0.39168
3,625,0.391892
3,652,0.39232
6,1761,0.392388
4,663,0.39258
5,942,0.39272
7,1076,0.39278
5,67,0.392808
5,63,0.3929
5,65,0.392912
4,546,0.392936
6,1737,0.393036
4,298,0.393132
4,913,0.39318
4,307,0.393216
6,1752,0.3934
3,655,0.393832
7,1779,0.394552
3,18,0.394712
6,222,0.394752
7,1755,0.394868
5,66,0.394948
6,1542,0.394976
3,626,0.395412
4,657,0.395504
4,1105,0.395736
7,1075,0.396104
7,1107,0.396564
6,1760,0.396604
2,1624,0.396656
6,1819,0.396708
3,17,0.396776
4,536,0.397148
3,648,0.397188
2,1644,0.397208
4,916,0.39736
4,918,0.397588
5,917,0.398716
6,1764,0.398792
3,1154,0.398928
4,309,0.399092
3,369,0.399256
6,1765,0.399468
3,627,0.399536
4,911,0.40038
2,968,0.400516
7,1106,0.40056
3,1192,0.400916
4,859,0.40092
6,445,0.400944
6,1246,0.400968
5,910,0.400976
6,1735,0.400996
2,1529,0.401128
7,1738,0.401272
4,308,0.4013
2,1645,0.401364
3,647,0.40142
4,862,0.401528
7,1743,0.40236
7,1124,0.402488
4,792,0.402508
6,283,0.402568
7,1123,0.40262
2,942,0.40284
7,1057,0.402856
7,557,0.40286
4,861,0.402864
7,558,0.402916
5,1670,0.40292
4,310,0.402924
6,220,0.402928
3,1198,0.40296
6,1950,0.40296
6,649,0.40304
7,1777,0.403168
3,646,0.403276
4,791,0.403276
4,673,0.403312
5,72,0.40366
5,71,0.403664
7,1127,0.404508
7,1126,0.404536
3,60,0.404552
7,1063,0.404728
5,1779,0.404772
5,1175,0.404844
5,1659,0.404844
6,444,0.404892
6,1539,0.40492
4,549,0.404964
6,1759,0.405024
4,547,0.405276
4,311,0.4053
